frame_no,timestamp_sec,lon,lat
813,162.4,76.261732641,26.00432486
814,162.6,76.261742398,26.004372003
815,162.8,76.261751228,26.004415549
816,163.0,76.26176015,26.004459758
817,163.2,76.261769129,26.004504209
818,163.4,76.261777763,26.004547637
819,163.6,76.261786438,
820,163.8,76.261794859,26.004635759
821,164.0,76.261803915,26.00468301
822,164.2,76.26181232,26.004727361
823,164.4,76.261820543,26.00477071
824,164.6,76.261829,26.004815161
825,164.8,76.261837454,26.004859558
826,165.0,76.261845955,26.004904067
827,165.2,76.261854262,26.004947652
828,165.4,76.261862785,
829,165.6,76.261871,
830,165.8,76.261879697,
831,166.0,76.261888554,
832,166.2,76.261896729,
833,166.4,76.261905005,26.005215031
834,166.6,76.261913305,26.00525981
835,166.8,76.261921362,26.005303425
836,167.0,76.261929574,26.005347645
837,167.2,76.261937789,
838,167.4,76.261946319,26.005438679
839,167.6,76.261954302,26.005482991
840,167.8,76.261961965,26.005526448
841,168.0,76.261969713,26.00557092
842,168.2,76.261977249,26.00561
843,168.4,76.261984717,26.00565837
844,168.6,76.261992607,26.005704757
845,168.8,76.262000153,26.005749421
846,169.0,76.262007517,
847,169.2,76.262014875,
848,169.4,76.262022797,26.005882898
849,169.6,76.26203042,
850,169.8,76.262038013,26.00597051
851,170.0,76.262046045,26.006016967
852,170.2,76.262053595,26.006060531
853,170.4,76.262061852,
854,170.6,76.262069587,
